Time (s),Position (m)
0.36,0.1596665
0.38,0.1651545
0.4,0.169442
0.42,0.1754445
0.44,0.1853915
0.46,0.1991115
0.48,0.210602
0.5,0.2255225
0.52,0.2402715
0.54,0.25725
0.56,0.2752575
0.58,0.2941225
0.6,0.313845
0.62,0.3342535
0.64,0.3555195
0.66,0.3771285
0.68,0.3997665
0.7,0.422919
0.72,0.446243
0.74,0.470253
0.76,0.4947775
0.78,0.5194735
0.8,0.5421115
0.82,0.567322
0.84,0.594762
0.86,0.6210015
0.88,0.647927
0.9,0.6762245
0.92,0.7070945
0.94,0.7434525
0.96,0.7921585
0.98,0.803649
1,0.8316035
1.02,0.8645315
1.04,0.899346
1.06,0.9372475
1.08,0.9705185
1.1,1.006705
1.12,1.037232
1.14,1.08731
1.16,1.1152645
1.18,1.140818
1.2,1.1684295
1.22,1.2318845
1.24,1.268414
1.26,1.304772
1.28,1.3162625
1.3,1.370285
1.32,1.420706
1.34,1.45089
1.36,1.504741
1.38,1.52292
1.4,1.5601355
1.42,1.602496
1.44,1.6441705